date,predicted_root_cause,stations_affected,fraction_of_fleet,p_value_vs_chance,classification
2025-01-01,sensor_stuck_fault,5,1.0,0.0008,SYSTEMIC_EVENT
2025-01-04,sensor_spike_fault,5,1.0,0.0012,SYSTEMIC_EVENT
2025-01-14,sensor_spike_fault,5,1.0,0.0012,SYSTEMIC_EVENT
2025-02-09,communication_failure,4,0.8,0.0014,SYSTEMIC_EVENT
2025-03-11,possible_genuine_weather_event,2,0.4,0.003,SYSTEMIC_EVENT
2025-03-24,calibration_drift_or_inconsistency,4,0.8,0.0033,SYSTEMIC_EVENT
2025-03-25,calibration_drift_or_inconsistency,4,0.8,0.0033,SYSTEMIC_EVENT
2025-03-30,calibration_drift_or_inconsistency,4,0.8,0.0033,SYSTEMIC_EVENT
2025-02-09,sensor_stuck_fault,4,0.8,0.0134,SYSTEMIC_EVENT
2025-03-14,sensor_stuck_fault,4,0.8,0.0134,SYSTEMIC_EVENT
2025-03-15,sensor_stuck_fault,4,0.8,0.0134,SYSTEMIC_EVENT
2025-02-28,sensor_spike_fault,4,0.8,0.0187,SYSTEMIC_EVENT
2025-03-19,sensor_spike_fault,4,0.8,0.0187,SYSTEMIC_EVENT
2025-01-02,communication_failure,3,0.6,0.0192,SYSTEMIC_EVENT
2025-02-05,communication_failure,3,0.6,0.0192,SYSTEMIC_EVENT
2025-03-14,communication_failure,3,0.6,0.0192,SYSTEMIC_EVENT
2025-01-26,normal,2,0.4,0.0341,SYSTEMIC_EVENT
2025-01-26,calibration_drift_or_inconsistency,3,0.6,0.0355,SYSTEMIC_EVENT
2025-03-21,calibration_drift_or_inconsistency,3,0.6,0.0355,SYSTEMIC_EVENT
2025-03-29,calibration_drift_or_inconsistency,3,0.6,0.0355,SYSTEMIC_EVENT
2025-03-31,calibration_drift_or_inconsistency,3,0.6,0.0355,SYSTEMIC_EVENT
2025-01-13,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-01-24,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-01-31,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-02-24,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-02-27,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-03-02,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-03-03,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-03-10,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-03-19,physics_inconsistent_reading,2,0.4,0.088,ISOLATED_FAULT
2025-01-02,sensor_stuck_fault,3,0.6,0.0933,ISOLATED_FAULT
2025-02-05,sensor_stuck_fault,3,0.6,0.0933,ISOLATED_FAULT
2025-03-28,sensor_stuck_fault,3,0.6,0.0933,ISOLATED_FAULT
2025-01-03,sensor_spike_fault,3,0.6,0.1168,ISOLATED_FAULT
2025-02-02,sensor_spike_fault,3,0.6,0.1168,ISOLATED_FAULT
2025-02-14,sensor_spike_fault,3,0.6,0.1168,ISOLATED_FAULT
2025-03-11,sensor_spike_fault,3,0.6,0.1168,ISOLATED_FAULT
2025-03-24,sensor_spike_fault,3,0.6,0.1168,ISOLATED_FAULT
2025-03-29,sensor_spike_fault,3,0.6,0.1168,ISOLATED_FAULT
2025-01-01,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-02-06,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-02-08,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-03-05,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-03-13,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-03-28,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-03-31,communication_failure,2,0.4,0.1349,ISOLATED_FAULT
2025-01-11,calibration_drift_or_inconsistency,2,0.4,0.1962,ISOLATED_FAULT
2025-02-22,calibration_drift_or_inconsistency,2,0.4,0.1962,ISOLATED_FAULT
2025-03-10,calibration_drift_or_inconsistency,2,0.4,0.1962,ISOLATED_FAULT
2025-03-11,calibration_drift_or_inconsistency,2,0.4,0.1962,ISOLATED_FAULT
2025-03-22,calibration_drift_or_inconsistency,2,0.4,0.1962,ISOLATED_FAULT
2025-03-27,calibration_drift_or_inconsistency,2,0.4,0.1962,ISOLATED_FAULT
